feed_temperature_K,feed_pressure_Pa,benzene_feed_fraction,number_of_stages,feed_stage,reflux_ratio,bottoms_flow_mol_s,error
373.90337684226415,132026.6821734404,0.6710627415661241,34,20,3.323204691467641,25.952773450037334,COLUMN: Solver reached the maximum number of iterations without converging.
357.4298222528326,120885.95081309477,0.33120888943184323,34,12,4.0915629711895365,44.60716635168217,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.0039058756818007583 [Tolerance = 0.0001]
384.18613173572885,183234.42152900924,0.47143537058104446,28,9,4.074770946534767,32.815262876328035,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.00013081178897729587 [Tolerance = 0.0001]
347.70252275887816,178768.5591963398,0.5061028887281342,33,11,2.0107431409987058,25.80168588181968,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.00020127844911058406 [Tolerance = 0.0001]
367.96042419945195,114140.40796978642,0.2731419554458646,35,14,3.0225318052175116,30.215939632784345,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.025787501731682063 [Tolerance = 0.0001]
360.94609289955207,103817.97573063556,0.6502137013922511,32,19,2.4167345276102496,33.56069814644691,COLUMN: Solver reached the maximum number of iterations without converging.
373.99329833073585,133567.7470373626,0.592285493861397,35,23,3.6202276147085852,33.75767132087749,COLUMN: Solver reached the maximum number of iterations without converging.
379.93632001158164,144463.07806463263,0.3049203915432125,33,11,1.7670482234431564,27.066084723525133,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.0063227237572851145 [Tolerance = 0.0001]
366.1005539273396,115199.88953526103,0.44856168822426323,33,10,3.652342813309197,59.667880949922605,COLUMN: Solver reached the maximum number of iterations without converging.
380.1769436945067,195876.55944349658,0.25558776792116594,23,7,2.9021955806452473,27.53102404496571,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.01006674054033198 [Tolerance = 0.0001]
354.1307148035126,154726.56995013176,0.46193696370581105,30,9,2.814320975959994,29.759637906426256,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.0001794927812415007 [Tolerance = 0.0001]
357.569105702377,146100.0015099715,0.6408497855225921,34,10,3.3109042718395023,26.240674643223556,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.00039524040556069217 [Tolerance = 0.0001]
368.8397983958105,147215.26827402605,0.3257946234870225,28,9,4.148796541978882,34.681579825943956,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.01118283196722592 [Tolerance = 0.0001]
346.6472601964778,141124.6804281366,0.4805686511427104,34,11,4.35503442296179,41.65748110425228,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.00015613642666475515 [Tolerance = 0.0001]
372.2177333558269,114114.1256386564,0.646893419465576,34,20,2.361690541878863,29.241825460580415,COLUMN: Solver reached the maximum number of iterations without converging.
377.84741736366135,116344.30838356253,0.3369961128730069,30,9,3.9599282158900917,34.193711394435574,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.013398290970653216 [Tolerance = 0.0001]
365.17939418203997,187076.32670172036,0.3649314267770103,30,17,3.859318993472172,63.80772072422561,COLUMN: Solver reached the maximum number of iterations without converging.
351.0979684562828,162366.54496687395,0.3331045968675522,31,11,2.1936712240234715,29.459642941712346,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.0059147364327016205 [Tolerance = 0.0001]
357.0838161368866,114648.43526697258,0.401673638293635,27,9,4.03838858972739,29.84222575790584,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.00011154790445316383 [Tolerance = 0.0001]
356.1833831996712,109954.59495239265,0.5599124555399443,33,11,2.222521906637616,27.569408392913545,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.00015102971932199217 [Tolerance = 0.0001]
349.6374751616064,133029.18458368984,0.3946342872084737,34,11,4.347732413879344,33.892610775729516,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.020539438390464983 [Tolerance = 0.0001]
346.1034517449922,171388.24846431206,0.3254388452147361,29,9,3.7583396628721095,28.45549872508095,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.024808645083723897 [Tolerance = 0.0001]
377.35010396826146,109864.68007840248,0.29894851800725697,34,10,2.2188686011513585,25.05209902407978,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.013892122660794658 [Tolerance = 0.0001]
380.8048453105538,148645.60278369428,0.2642479086816873,34,12,3.9055061304329026,29.585988989235446,COLUMN: Failed to fulfill mass balance for Benzene: Relative Error = -0.05043893988925672 [Tolerance = 0.0001]
