feed_temperature_K,feed_pressure_Pa,benzene_feed_fraction,number_of_stages,feed_stage,feed_stage_fraction,reflux_ratio,bottoms_flow_mol_s,distillate_benzene_purity,bottoms_toluene_purity,condenser_duty,reboiler_duty
376.51302676497323,197025.3515664664,0.49996661735520964,26,8,0.32,3.6077529476979637,52.208034621363566,0.9984708839914918,0.9563597278534681,6676.860586429954,-6561.551829277991
362.69817437366953,191310.02893252915,0.7225816143549981,28,13,0.48148148148148145,2.7472136697448106,61.28691095037011,0.9999477272536277,0.45262210503623856,4396.987100322994,-4352.573111797656
374.01040005668705,184210.65876829,0.26281846038709145,23,14,0.6363636363636364,1.564648717429024,66.75241857567376,0.7116727277188555,0.9607433872501008,2720.052101446206,-2738.818479543599
384.7406497759799,181714.47845683992,0.6334285534690521,31,19,0.6333333333333333,3.8588143939790767,54.206466860337194,0.9999995401269945,0.6762533041867255,6739.708796611443,-5204.23846100293
349.51651500413425,106804.14552090391,0.5128333011836725,26,9,0.36,3.115490296206725,34.574097239639784,0.7838374609302509,0.9999973104177018,8496.430836681915,-8774.147467711768
358.1841105967571,154497.19959878913,0.6808257470847447,34,22,0.6666666666666666,1.845854389983539,48.15111435964053,0.9999963024451146,0.6628552309485368,4469.501370847729,-4527.355052410758
370.6549338132548,103274.14179286448,0.5006991342801795,28,10,0.37037037037037035,3.0714923101707083,59.7852006232814,0.997915765701592,0.8337560542489253,4965.008463802384,-2640.1854905265354
364.98896735244153,132466.67208966188,0.26095916801085434,31,10,0.3333333333333333,2.949960386362764,54.5261529477622,0.573865930166753,0.9999984508633363,5831.868685916356,-5994.515263671799
366.53932142427266,161656.98999891523,0.506997786394906,20,7,0.3684210526315789,4.106780489633294,39.80103424109344,0.8421756377507492,0.9999557046546549,9607.358364832242,-9635.865169004815
356.7316395223714,131455.06356824096,0.7423224914357431,20,6,0.3157894736842105,4.421722216769358,66.2505774517507,0.9982784219044161,0.38806675843026456,5548.1715123807935,-5582.119981767637
